# patch	state	upstream_ref	source_commits
0001-regenerate-retained-fork-overlay-on-v0.25.3.patch	regenerate	retained-fork-overlay	7a9e333d0dade9ae03acce75dcb590fbbca48a44,7e7fd50f71dee6dd5d7bccd168077052cf288ce7,6dd26669f34ef18f47e7edd18987e92774bca993,4bdff75b494a5c44f992a4362d8453b34693ccb5,c888514b4389e1e9aeac4d2c26f59a9f045ed1a2,f1ca6f31486978e722f07cb40427f64d204e5dbf,b57af5426599cf7d7920c7e8e22204759b162401,d3340eae5a6d09abc59f5802161b62229cf49592,34c9cd5068ce66f2ad6cf71e733088451306bd73,e114eee6da53104d4b163bfa7a6340d3f788269e,6efd910f7aa8796aae7181ce4dc019d0baae872e,6bcf9556c5641a4ea673d39e6cbccb177fc495c3,e036ba98a420a830cfc8531fb32deceac923028c,b8cf7506da43b6fd3a3650820cab6a68d7b15f9f,d8176f8a8f94a2c0950677c4dc17c2a53d7eb1ec,2ceb7045ec04f6a6d1ca2234de7fe2fcd282377a,956cdc6f8ffcc1e191caf27a320fecf2d27e0576,e9e7e184d0663d29f150ffe9f1d17c14daed209e,9e590e2801e7bdf2d468503f6db08e1b7116932a,98790091a7c83e0950bdaade761c19971dab2731,5bfa20aa2112736fe676061ff9be868f0081b74c,bbaa1215fe90d1c8ab010af2ef13b6d934b4d977,bd9613da0a02fe9eaa401ff6f0ff95c70e900b47,210ee0df3abead70343c24849b9d89af7e83df5d,deddf340a4417e12013c7728dffa9f65d18c0085,d5f718ac2adccca737b91dfb3d9dbcea77673036,bf71699d2b93c58ad4e26331912247e2f04728f1,14071ec9671d2867cbe7c49f3ee183fa42ddd858,deb80ad2fb85babb525ee8a385016ebc8317ae60,b130148b76598b551a08a5b692cb68199449701b,47cca7acb89c2fc8284f2b5fde9a2c5d0b8071b6,11e18c68e820a3259af95aa23629a3303a2d9b57,8333eee8da53a52969a8d7e2df559ccf943f7dad,5059c462caa560daf22450b1b89fe243870b4c1c,7231d626703f7e39470d4e97cedf4545e702d14a,3eb8cb9da26da04071f98472f27b91480e9f9909,00f863928868e6461aeba3992a02a51b2d07ec52,601e015c905a186d1a8f2c4b9e9ac8689f1ba42e,95636aa75b41e52bb7bbbfedff5380266d50f831,3cee7ce884da7a355bbb4ecb0a427f0630f2729c,9e0f091028adf5eeaba9aab7e86b3dced1106ab0,41057cfd2cf10a25c5bae76976945cf87caac1c5,76bcc04dedad237d0d0369d4d38c5ac09e564825,bf384a876e8a5c433496e32a6cab18b704ba9c07,cdb1b92deb9f8e56a51cc2267a4be25e2762ac4c,dc98bd08f050825f0ecc5dd168180c3996dff877
0002-fix-integrate-retained-fork-features-on-v0.25.3.patch	regenerate	integration-repair	-
0003-carry-upstream-PR-1315.patch	carry	pr-1315	-
0004-carry-upstream-PR-1316.patch	carry	pr-1316	-
0005-carry-upstream-PR-1317.patch	carry	pr-1317	-
0006-carry-upstream-PR-1318.patch	carry	pr-1318	-
0007-carry-upstream-PR-1319.patch	carry	pr-1319	-
0008-carry-upstream-PR-1320.patch	carry	pr-1320	-
0009-carry-upstream-PR-1321.patch	carry	pr-1321	-
0010-carry-upstream-PR-1322.patch	carry	pr-1322	-
0011-carry-upstream-PR-1323.patch	carry	pr-1323	-
0012-carry-upstream-PR-1324.patch	carry	pr-1324	-
0013-fix-pty-close-watchdog-run-boundaries.patch	carry	pr-1320	-
0014-fix-agy-discard-stale-queued-question-answers.patch	carry	pr-1320	-
0015-fix-web-hide-unsupported-AGY-model-reset.patch	carry	pr-1320	-
0016-fix-web-align-rich-composer-DOM-offsets.patch	carry	pr-1325	-
0017-fix-web-truncate-session-titles-safely.patch	carry	pr-1325	-
0018-fix-web-preserve-session-title-size-bounds.patch	carry	pr-1325	-
0019-fix-web-normalize-empty-wrapper-offsets.patch	carry	pr-1325	-
0020-fix-resolve-v0.25.3-integration-regressions.patch	regenerate	integration-regressions	-
