patch	state	upstream_ref	source_commits
# v0.27.2.1 — rebuilt from upstream/main 00b6e448; pr-1092 dropped by operator decision
01-distribution-overlay.patch	regenerate	-	-
02-pr-1419.patch	carry	pr-1419	adb0ad029640aeae8dd821d62af7ee790ec95b12
03-pr-1436.patch	carry	pr-1436	7a57fc142d2dd6f19857c79d5c529b82b23063a6
04-pr-1421.patch	carry	pr-1421	3f0cfe6578405338b295e97f0c8a874874076ad0
05-pr-1420.patch	carry	pr-1420	228dcfa2366c3162b7a1dd218b44845467d6ca6c
06-pr-1442.patch	carry	pr-1442	a9a67f1a509368296621a46c2a7bdc4f943e234c
07-pr-955.patch	carry	pr-955	cd37fc60386cd61f342af8f603cbfb534c478883
08-pr-906.patch	carry	pr-906	d652eafdb885d5b2e09ff76461564f3f316b78e1
09-pr-1433.patch	carry	pr-1433	82a999eecf1d4dd1f4f42f0e6098a53333374e12
10-pr-1430.patch	carry	pr-1430	2a713471afb4d874fb2eb1870b21a91b2c699e6d
11-pr-1424.patch	carry	pr-1424	742f102910e6e4a9073252eaef736042777566a7
12-pr-1422.patch	carry	pr-1422	b603433bf3e2d371440cfb4fe72ee173a6a2beec
13-pr-1415.patch	carry	pr-1415	ab18465f807c9643693e825349408b1ce22f21d4
14-pr-1414.patch	carry	pr-1414	e14ebe65d8d88db0543cc8199de74bb30f82f43a
15-pr-1413.patch	carry	pr-1413	54603b788c03a41efbecdfc3649eaf4cb42da90b
16-pr-1411.patch	carry	pr-1411	9df8e84d71983e7fb9f3082aeabb5be50541963e
17-pr-1410.patch	carry	pr-1410	f892b89f8cbc916fe8af4590f4ce01aa190ad846
18-pr-1158.patch	carry	pr-1158	9323174baee46e85b04a20ac0eba2fdad821befa
19-pr-1108.patch	carry	pr-1108	0d9eaf065f0d194f273cfd73bb4fbd1d853fe55e
21-pr-1091.patch	carry	pr-1091	0cf0d70310e9c58c5a41509793260a003822a9b4
22-pr-987.patch	carry	pr-987	283ccca04f2bf173f3362d48236d7c8ec6de47e3
23-pr-986.patch	carry	pr-986	a989dda1822be4e54893908d4baf7c2afeca19e6
24-pr-847.patch	carry	pr-847	bdcbbe068e93279c9d23aa7aea6c6cd089d73542
25-pr-769.patch	carry	pr-769	60c11607ce3bba734f38b6fcf87be07b32298683
