upstream_ref	author	head_sha	decision	status	maintainer_signal	bot_verdict	bot_sha	scope	behavior	reason
pr-1847	techotaku39	8d1e7b6a3e14e6924eb0d1b4f9ea19f4247c39e5	review	merge-unknown	review	review	-	review	review	additions=258,deletions=13,files=5
pr-1846	techotaku39	6f62bdb1127cb7da0ed7e6e179da7cbc92270c79	review	merge-unknown	review	review	-	review-large	review	additions=1312,deletions=9,files=14
pr-1844	miuiadmin	bb24e6b6254b1f210703a7e024bd5a6e0f44e31c	review	merge-unknown	review	review	-	review	review	additions=229,deletions=3,files=4
pr-1838	luodeb	f33c573efb81495b3c27b09a33678bdb28d0fd4e	review	merge-unknown	review	review	-	review-huge	review	additions=5209,deletions=25,files=45
pr-1836	swear01	9db722a58f0706373ecb2c38ea2bfda07b92d108	carry	merge-unknown	review	review	-	review-large	review	additions=578,deletions=21,files=28
pr-1831	luodeb	0ab08bfca124dc75e2c6b3671f2feb2cd0759565	review	merge-unknown	review	review	-	review	review	additions=419,deletions=72,files=7
pr-1826	luodeb	2317b3328b5f65ce374349e3fbf4250048d73d9e	review	merge-unknown	review	review	-	review	review	additions=88,deletions=4,files=3
pr-1825	heavygee	2890f9a0746444dd9700d8b3aab4b78018d2a597	review	merge-unknown	review	review	-	review	review	additions=736,deletions=352,files=19
pr-1822	swear01	4fc73899fed63a56a0a465b2261a62d26abcb18e	carry	merge-unknown	review	review	-	review	review	additions=544,deletions=77,files=15
pr-1821	heavygee	9a1f5b05dafeb29e16f4a96c053aa310ad04cacb	review	merge-unknown	review	review	-	review-large	review	additions=776,deletions=46,files=22
pr-1819	swear01	7f77be104e856279398a72963bdacfcc39397bfe	carry	merge-unknown	review	review	-	review	review	additions=325,deletions=104,files=18
pr-1816	HongChenGG	9f8a4afb86600d91f6b931a2f3837dbff765c021	review	merge-unstable	review	review	-	review	review	additions=15,deletions=0,files=1
pr-1801	techotaku39	1a3cb18b84850c11648db504503db375a56e39ec	review	merge-unknown	review	review	-	review	review	additions=256,deletions=38,files=6
pr-1798	techotaku39	e26502e1cc02b6ccc9e349e00b261e6807cc9ea4	review	merge-unknown	review	review	-	review	review	additions=270,deletions=31,files=10
pr-1797	techotaku39	14df9508dd684702ec5368161e2943b72dab2b1e	review	merge-unknown	review	review	-	review	review	additions=101,deletions=6,files=2
pr-1793	heavygee	a2f8f3a8298ea4a82c08d721696027c9a6a0e415	review	merge-unknown	review	review	-	review	review	additions=60,deletions=12,files=5
pr-1791	techotaku39	02b76df5dbdb6b26b3fad01b0843877f8395d861	review	checks-failed	review	review	-	review-large	review	additions=1535,deletions=10,files=15
pr-1788	techotaku39	b76e0dc1d0a90d5ff76e40b390ccdfc988ea4518	review	merge-unknown	review	review	-	review-huge	review	additions=4118,deletions=12,files=40
pr-1787	techotaku39	7771ed305317ee964ae21a8fa468db24a060e239	review	merge-unknown	review	review	-	review-large	review	additions=2857,deletions=3,files=19
pr-1783	junmo-kim	ea015e8fb1c147b87b12442d506942a7bf4f81dc	review	merge-dirty	review	review	-	review-huge	review	additions=2402,deletions=270,files=41
pr-1778	techotaku39	d4f2d098aa5e23e24697dfb05a80bd0b023d294d	review	merge-unknown	review	review	-	review	review	additions=627,deletions=41,files=18
pr-1772	techotaku39	c7f6548bce327c5a520ca740b6c0f76a72ebb4c8	review	merge-unknown	review	review	-	review-large	review	additions=1541,deletions=293,files=34
pr-1771	swear01	95558c3a3b61486d48217b5fc8caa627cff3de68	carry	merge-dirty	review	review	-	review-huge	review	additions=6193,deletions=3243,files=197
pr-1762	heavygee	30b531a4f494b1df058f14e75e3d04e2318e471c	review	draft	review	review	-	review-huge	review	additions=6483,deletions=282,files=77
pr-1758	techotaku39	e756d30a11117fcccb621e4201b6f3b39f7de531	review	merge-unknown	review	review	-	review	review	additions=611,deletions=56,files=14
pr-1753	heavygee	d5fa8963fa91b825a04af6532a9d870dbd466088	review	merge-unknown	review	review	-	review	review	additions=418,deletions=9,files=11
pr-1747	wu736139669	a8e8d6e91b8c6f8a8b3495fb6ba214cdc8594eb6	review	merge-unknown	review	review	-	review	review	additions=253,deletions=58,files=9
pr-1738	heavygee	5a695fbd1bd367fe15835f9f9742cc37fe9fc160	review	merge-unknown	review	review	-	review	review	additions=603,deletions=59,files=12
pr-1733	heavygee	ef4636a9fa07932dabaeec76a6e8263d21bfdd78	review	merge-unknown	review	review	-	review	review	additions=248,deletions=0,files=5
pr-1730	techotaku39	6eea8d4422d0f3c5514facc8fe0f1a3f014c8cd8	review	ready	review	review	-	review	review	additions=537,deletions=3,files=9
pr-1729	techotaku39	f04288cacaae35ee2c50b381bc4db5604eb03f80	review	merge-unknown	review	review	-	review	review	additions=303,deletions=8,files=2
pr-1728	techotaku39	7a93bb406734417589da0be5d344161cdd0723b9	review	merge-unknown	review	review	-	review	review	additions=13,deletions=100,files=6
pr-1727	techotaku39	05794d146c62cd72100c72690570ad34170488e3	review	merge-unknown	review	review	-	review-large	review	additions=1054,deletions=13,files=16
pr-1726	techotaku39	582a7badd67bdd3f53a09b5e610ec3461f334105	review	merge-unknown	review	review	-	review	review	additions=54,deletions=2,files=3
