upstream_ref	author	head_sha	decision	status	maintainer_signal	bot_verdict	bot_sha	scope	behavior	reason
pr-1922	heavygee	44c7994f5c414ab548e94bb8dcb40bb5e576b608	defer	ready	review	review	-	review-huge	review	new or changed PR head; awaiting upstream review
pr-1921	miuiadmin	b46689bcac9f47f556bee7a6474e5230b9af1e0b	defer	ready	review	review	-	review	review	new or changed PR head; awaiting upstream review
pr-1920	techotaku39	fd7cd5844d24df4533b8969c6d7ffab2af9205c0	defer	ready	review	review	-	review	review	new or changed PR head; awaiting upstream review
pr-1916	techotaku39	630c9fc7f0768080fbd101d02b728b79f7ddeef2	defer	ready	review	review	-	review	review	new or changed PR head; awaiting upstream review
pr-1909	heavygee	df015641a9ccbf6cd1ba826e8507a680bd63be99	defer	ready	review	review	-	review-large	review	new or changed PR head; awaiting upstream review
pr-1907	techotaku39	80eb8c632666327379a6e44e18d9c6a8daf2ce31	defer	ready	review	review	-	review	review	new or changed PR head; awaiting upstream review
pr-1903	zx-shi	2389d9b391df9e4ad054838eee34e6273ef82680	defer	ready	review	review	-	review	review	new or changed PR head; awaiting upstream review
pr-1901	heavygee	ac5d2f9ad068c68c3ec5f7d6641af2c343799141	defer	ready	review	review	-	review-huge	review	new or changed PR head; awaiting upstream review
pr-1898	Maizify	bd6ffb5fe8cb20a8f2ca6a58ebae6175dffafc43	defer	checks-failed	review	review	-	review	review	new or changed PR head; awaiting upstream review
pr-1897	miuiadmin	85c63822e722cbc15f3b18967d4e19b4f06bed41	defer	merge-dirty	review	review	-	review	review	new or changed PR head; awaiting upstream review
pr-1892	heavygee	362b5ac821b9dbdd75a2f622f9d986c0ae91d197	defer	ready	review	review	-	review	review	new or changed PR head; awaiting upstream review
pr-1890	miuiadmin	05c87b3e933fb6094479ab5827735960fbce7c01	defer	ready	review	review	-	review	review	new or changed PR head; awaiting upstream review
pr-1889	miuiadmin	74f6765eb17cdade37bfb745c225bf76add4de94	defer	ready	review	review	-	review	review	new or changed PR head; awaiting upstream review
pr-1886	ZJUFangzh	736fcc7831327e882ec8722e9280a2fbbe2b1d3c	defer	ready	review	review	-	review	review	deferred this round; awaiting official review
pr-1885	Metaphorme	d5b78a3e33fbb217cdad46366a5eee3217796863	defer	merge-unstable	review	review	-	review-large	review	deferred this round; awaiting official review
pr-1881	miuiadmin	257cee4310b22867aa39e34f1b209bb7f66758e9	defer	checks-failed	review	review	-	review	review	deferred this round; awaiting official review
pr-1880	ncchinh	f70e1582260c7a46938145b365020be59d400c48	defer	merge-dirty	review	review	-	review	review	deferred this round; awaiting official review
pr-1879	Metaphorme	04a7489036e6c837f680cc93288988a3cb139ddf	defer	ready	review	review	-	review-large	review	new or changed PR head; awaiting upstream review
pr-1878	miuiadmin	c3d2198632177b4df577dee6521f740537fbcc07	defer	checks-failed	review	review	-	review	review	deferred this round; awaiting official review
pr-1877	miuiadmin	3351b6d213bfe033a271ae32a2cfa382b922add2	defer	ready	review	review	-	review	review	deferred this round; awaiting official review
pr-1876	creeep123	a16cd59c60035241150e43548d6f447190c16b3a	defer	merge-unstable	review	review	-	review	review	deferred this round; awaiting official review
pr-1875	creeep123	1ea30933c68456c3c62ac26eec0af0119248f4a3	defer	ready	review	review	-	review	review	deferred this round; awaiting official review
pr-1871	miuiadmin	d2a0e7c1b654aa09a469f7460a40a8ae88b7283c	defer	merge-unstable	review	review	-	review	review	deferred this round; awaiting official review
pr-1869	sharadvc	fe68899a6a78accf76706395713c4c787ec2b2e9	defer	ready	review	review	-	review	review	deferred this round; awaiting official review
pr-1867	heavygee	50cfa158ac51ff3ca64b63096b977a01cce8c48a	defer	merge-unstable	review	review	-	review	review	deferred this round; awaiting official review
pr-1852	techotaku39	ce9596df1650a0b178eca7be759a7fac8f8c9f06	defer	merge-unstable	review	review	-	review	review	new PR head; awaiting individual audit
pr-1849	techotaku39	7fbd675f3f1e27d6c81a6b1134b032c9720a1050	defer	ready	review	review	-	review	review	new or changed PR head; awaiting upstream review
pr-1844	miuiadmin	bb24e6b6254b1f210703a7e024bd5a6e0f44e31c	defer	ready	review	review	-	review	review	deferred this round; awaiting official review
pr-1838	luodeb	f33c573efb81495b3c27b09a33678bdb28d0fd4e	defer	merge-dirty	review	review	-	review-huge	review	deferred this round; awaiting official review
pr-1836	swear01	3fe0ec5072c41f0445e13f63f822c278d0095054	defer	merge-dirty	review	review	-	review-large	review	deferred this round; awaiting official review
pr-1831	luodeb	0ab08bfca124dc75e2c6b3671f2feb2cd0759565	defer	ready	review	review	-	review	review	deferred this round; awaiting official review
pr-1826	luodeb	2317b3328b5f65ce374349e3fbf4250048d73d9e	defer	ready	review	review	-	review	review	deferred this round; awaiting official review
pr-1825	heavygee	bb2fb712ca3d437df51fe6c73df6c6efe6c9c9af	defer	ready	review	review	-	review	review	new or changed PR head; awaiting upstream review
pr-1822	swear01	5b78b7313f110bdbb54f47a5a6c0045d461ad0ee	defer	merge-dirty	review	review	-	review	review	deferred this round; awaiting official review
pr-1816	HongChenGG	9f8a4afb86600d91f6b931a2f3837dbff765c021	defer	ready	review	review	-	review	review	deferred this round; awaiting official review
pr-1801	techotaku39	dfd8df6d298272d8556b30d06364471551aca48a	defer	ready	review	review	-	review	review	deferred this round; awaiting official review
pr-1798	techotaku39	578241ad604b0de6581c79fe0ce7d7543b07f754	defer	ready	review	review	-	review	review	new or changed PR head; awaiting upstream review
